date, price
Jan 2009, 213.7   
Feb 2009, 210.6   
Mar 2009, 210.6   
Apr 2009, 203.4   
May 2009, 201.9   
Jun 2009, 200.5   
Jul 2009, 200.5   
Aug 2009, 200.5   
Sep 2009, 200.5   
Oct 2009, 200.5   
Nov 2009, 200.0   
Dec 2009, 200.5   
Jan 2010, 203.3   
Feb 2010, 206.2   
Mar 2010, 206.2   
Apr 2010, 206.2   
May 2010, 211.0  
Jun 2010, 213.9   
Jul 2010, 213.9   
Aug 2010, 213.9   
Sep 2010, 213.3   
Oct 2010, 213.7   
Nov 2010, 215.4   
Dec 2010, 213.7   
Jan 2011, 214.4   
Feb 2011, 216.6   
Mar 2011, 220.7   
Apr 2011, 221.2   
May 2011, 223.2   
Jun 2011, 223.9   
Jul 2011, 229.5   
Aug 2011, 232.9   
Sep 2011, 232.6   
Oct 2011, 233.2   
Nov 2011, 232.5   
Dec 2011, 232.5   
Jan 2012, 233.6   
Feb 2012, 234.8   
Mar 2012, 233.4   
Apr 2012, 227.4   
May 2012, 224.4   
Jun 2012, 224.7   
Jul 2012, 222.3   
Aug 2012, 220.3   
Sep 2012, 217.4   
Oct 2012, 220.1   
Nov 2012, 218.2   
Dec 2012, 217.4   
Jan 2013, 216.9   
Feb 2013, 216.0   
Mar 2013, 215.3   
Apr 2013, 215.2   
May 2013, 217.4   
Jun 2013, 216.7   
Jul 2013, 215.8   
Aug 2013, 215.5   
Sep 2013, 215.0   
Oct 2013, 213.7   
Nov 2013, 211.4   
Dec 2013, 210.1   
Jan 2014, 212.4   
Feb 2014, 211.7   
Mar 2014, 213.2   
Apr 2014, 213.2   
May 2014, 211.8   
Jun 2014, 213.3   
Jul 2014, 211.8   
Aug 2014, 211.4   
Sep 2014, 211.5   
Oct 2014, 215.3   
Nov 2014, 213.9   
Dec 2014, 216.3   
Jan 2015, 217.7   
Feb 2015, 216.9   
Mar 2015, 218.2   
Apr 2015, 219.3   
May 2015, 220.2   
Jun 2015, 221.3   
Jul 2015, 219.4   
Aug 2015, 218.5   
Sep 2015, 217.7   
Oct 2015, 221.2   
Nov 2015, 219.8   
Dec 2015, 218.1   
Jan 2016, 216.7   
Feb 2016, 218.1   
Mar 2016, 218.0   
Apr 2016, 218.4   
May 2016, 214.6   
Jun 2016, 217.0   
Jul 2016, 216.3   
Aug 2016, 216.7   
Sep 2016, 217.0   
Oct 2016, 217.5   
Nov 2016, 218.4   
Dec 2016, 218.9   
Jan 2017, 218.7   
Feb 2017, 219.1   
Mar 2017, 219.7   
Apr 2017, 217.7   
May 2017, 215.8   
Jun 2017, 216.2   
Jul 2017, 217.2   
Aug 2017, 215.2   
Sep 2017, 214.0   
Oct 2017, 213.8   
Nov 2017, 213.4   
Dec 2017, 214.8   
Jan 2018, 214.3   
Feb 2018, 213.5   
Mar 2018, 215.1   
Apr 2018, 216.1   
May 2018, 217.6   
Jun 2018, 215.8   
Jul 2018, 217.0   
Aug 2018, 215.7   
Sep 2018, 215.7   
Oct 2018, 215.0   
Nov 2018, 214.6   
Dec 2018, 215.0   
Jan 2019, 215.4   
Feb 2019, 215.7   
Mar 2019, 216.2   
Apr 2019, 215.7   
May 2019, 214.4   
Jun 2019, 213.2   
Jul 2019, 213.1   
Aug 2019, 213.0   
Sep 2019, 211.0   
Oct 2019, 211.3   
Nov 2019, 210.0   
Dec 2019, 210.0   
Jan 2020, 209.2   
Feb 2020, 210.4   
Mar 2020, 209.4   
Apr 2020, 209.6   
May 2020, 205.1   
Jun 2020, 208.3   
Jul 2020, 204.2   
Aug 2020, 205.0   
Sep 2020, 206.3   
Oct 2020, 206.8   
Nov 2020, 207.0   
Dec 2020, 206.6   
Jan 2021, 206.7   
Feb 2021, 207.7   
Mar 2021, 208.8   
Apr 2021, 209.6   
May 2021, 210.4   
Jun 2021, 212.1   
Jul 2021, 212.1   
Aug 2021, 212.7   
Sep 2021, 213.6   
Oct 2021, 212.5   
Nov 2021, 211.9   
Dec 2021, 214.2   
Jan 2022, 221.6   
Feb 2022, 222.7   
Mar 2022, 230.3   
Apr 2022, 231.1   
May 2022, 228.6   
Jun 2022, 230.8   
Jul 2022, 229.7   
Aug 2022, 228.3   
Sep 2022, 227.0   
Oct 2022, 226.0   
Nov 2022, 225.0  
Feb 2023, 213.4   
Dec 2022, 225.0  
Jan 2023, 217.3   
